model,model_family,frame_or_video,status,main_advantage,main_limitation
S2M2-S,frame stereo transformer,frame,quantitatively_evaluated,fastest S2M2 deployment candidate,lower accuracy than L/XL
S2M2-L,frame stereo transformer,frame,used_in_final_pipeline,best practical frame backbone for temporal refinement,frame-wise temporal flicker remains
S2M2-XL,frame stereo transformer,frame,quantitatively_evaluated,teacher-sized frame model,marginal benefit over L in current evidence
StereoAnyVideo,video stereo,video,used_in_final_pipeline,strong temporal teacher/reference,"heavy, non-causal upper-bound style teacher"
Tiny U-Net refiner,ARGOS residual temporal refiner,window,quantitatively_evaluated,simple residual teacher-student prototype,bidirectional/non-causal and modest temporal gains
ConvGRU refiner V2 scheduled,ARGOS causal recurrent refiner,video/online recurrent,used_in_final_pipeline,causal learned temporal stabilization; epoch 30-50 Pareto candidates,temporal improvement does not prove geometry without GT
Fast-FoundationStereo,stereo/depth baseline,mixed,inference_attempted,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
FoundationStereo,stereo/depth baseline,mixed,inference_attempted,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
StereoAnywhere,stereo/depth baseline,mixed,inference_attempted,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
RAFT-Stereo,stereo/depth baseline,mixed,inference_attempted,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
CREStereo,stereo/depth baseline,mixed,inference_attempted,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
DEFOM-Stereo,stereo/depth baseline,mixed,inference_attempted,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
MonSter++,stereo/depth baseline,mixed,inference_attempted,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
IGEV++ / Selective-Stereo,stereo/depth baseline,mixed,inference_attempted,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
TC-Stereo,stereo/depth baseline,mixed,downloaded,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
TemporalStereo,stereo/depth baseline,mixed,downloaded,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
PPMStereo,stereo/depth baseline,mixed,downloaded,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
TemporallyConsistentDepth,stereo/depth baseline,mixed,downloaded,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
DynamicStereo,stereo/depth baseline,mixed,inference_attempted,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
BiDAStereo,stereo/depth baseline,mixed,inference_attempted,SOTA exploration candidate,not selected for current final temporal pipeline or incomplete compatibility evidence
