run,frame,fx,baseline_mm,valid_px,disp_mae_px,disp_rmse_px,disp_bad1_pct,disp_bad2_pct,disp_bad5_pct,depth_mae_mm,depth_rmse_mm,depth_bad1mm_pct,depth_bad2mm_pct,depth_bad5mm_pct
pretrained,keyframe_0,1024.0877685546875,4.348184585571289,1036052,261.8285827636719,311.436767578125,99.86332732333898,99.74267700848992,99.41972024570195,89.49883270263672,92.36663055419922,99.9353314312409,99.86660901190288,99.69219691675707
servct_finetuned,keyframe_0,1024.0877685546875,4.348184585571289,1036052,326.8961486816406,361.27215576171875,100.0,99.99990347974813,99.99932435823683,97.0152359008789,97.9790267944336,99.99884175697746,99.9986487164737,99.99826263546618
pretrained,keyframe_1,1024.0877685546875,4.348184585571289,1179474,61.004615783691406,64.48914337158203,99.97058010604727,99.93887105608094,99.84264171995314,4626.41357421875,54516.1015625,99.98134761766686,99.96108434776858,99.89486839048593
servct_finetuned,keyframe_1,1024.0877685546875,4.348184585571289,1179474,56.37211608886719,57.15137481689453,99.98796073503952,99.97464971673814,99.92835789512952,1549.766357421875,1792.4925537109375,99.99186077861827,99.98406069146077,99.95192772371414
pretrained,keyframe_2,1024.0877685546875,4.348184585571289,1042097,79.11962127685547,79.42459106445312,100.0,99.99990403964314,99.99990403964314,148579392.0,808404928.0,100.0,100.0,100.0
servct_finetuned,keyframe_2,1024.0877685546875,4.348184585571289,1042097,78.42970275878906,78.75557708740234,100.0,99.99990403964314,99.99990403964314,300723.0,34725776.0,100.0,100.0,100.0
pretrained,keyframe_3,1024.0877685546875,4.348184585571289,1164664,74.56657409667969,74.80142211914062,100.0,100.0,100.0,8539.45703125,14150.6259765625,100.0,100.0,100.0
servct_finetuned,keyframe_3,1024.0877685546875,4.348184585571289,1164664,74.10752868652344,74.35907745361328,100.0,100.0,99.9999141383266,5673.5732421875,9228.181640625,100.0,100.0,100.0
pretrained,keyframe_4,1024.0877685546875,4.348184585571289,1019070,77.75492858886719,78.17949676513672,100.0,99.99990187131405,99.99980374262807,63076.015625,14754772.0,100.0,100.0,100.0
servct_finetuned,keyframe_4,1024.0877685546875,4.348184585571289,1019070,77.18963623046875,77.61309814453125,100.0,100.0,99.99990187131405,46154.28125,12814507.0,100.0,100.0,100.0
